BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
VINCENT M. MALLOZZI,"December 31, 2016 Saturday 00:00 EST",,"Abby Jackson and Dominick Martín: Doing Splits, Literally and Figuratively",695 words,The New York Times,FASHION; weddings,,WEDDINGS & ENGAGEMENTS (91%); CLERGY & RELIGIOUS VOCATIONS (90%); HIGH SCHOOLS (90%); COURTSHIP & DATING (89%); PROFESSIONAL SPORTS (88%); BASKETBALL (88%); RELIGION (77%); PRIMARY & SECONDARY SCHOOL TEACHERS (75%); WEDDING INDUSTRY (72%); CATHOLICS & CATHOLICISM (72%); MATH & SCIENCE EDUCATION (70%); MUSIC EDUCATION (70%); SCHOOL DISTRICTS (70%); DERIVATIVE INSTRUMENTS (68%); SECURITIES BROKERS (67%); RESTAURANTS (66%)
ANDY NEWMAN,"December 31, 2016 Saturday 00:00 EST",,Calling on Angels While Enduring the Trials of Job; The Neediest Cases,1172 words,The New York Times,NYREGION,,RELIGION (93%); CHARITIES (91%); CATHOLICS & CATHOLICISM (91%); DEPRESSION (90%); CHILDREN (89%); PAINTING (89%); EPILEPSY (89%); CANCER (89%); FILM SCHOOLS (79%); RESIDENTIAL PROPERTY (78%); FAMILY (78%); CHILD CUSTODY & SUPPORT (77%); CHEMOTHERAPY & RADIATION (76%); DISEASES & DISORDERS (76%); HEAD & NECK CANCER (76%); BAKERIES (74%); PUBLIC HOUSING (73%); WEDDINGS & ENGAGEMENTS (72%); HEART DISEASE (69%); NATURAL DISASTERS (69%); CARDIOVASCULAR DISEASE (69%); VIETNAM WAR (68%); TOOTH DISORDERS (60%); CLOTHING & ACCESSORIES STORES (51%)
KRISTA BURTON,"December 31, 2016 Saturday 00:00 EST",,Hipsters Broke My Gaydar; Opinion,767 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); GAYS & LESBIANS (89%); ARTS FESTIVALS & EXHIBITIONS (78%); POETRY (72%); WRITERS (66%); ORGANIC FOODS (64%); FOOD INDUSTRY (63%); BUSINESS COOPERATIVES (61%); HIP HOP CULTURE (61%); PESTICIDES (60%); FOOD & BEVERAGE (60%)
PICO IYER,"December 31, 2016 Saturday 00:00 EST",,What Do We Know?; The Stone,1160 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); POLLS & SURVEYS (65%); US PRESIDENTIAL CANDIDATES 2016 (63%); TRENDS (61%); NOBEL PRIZES (50%); AWARDS & PRIZES (50%); EMPLOYMENT INTERVIEWS (50%); EMPLOYMENT (50%)
PETER HALDEMAN,"December 31, 2016 Saturday 00:00 EST",,"My Father, the Shapeshifter",2412 words,The New York Times,FASHION,,WRITERS (90%); ENTERTAINMENT & ARTS AWARDS (90%); BIOGRAPHICAL LITERATURE (89%); TRANSGENDER PERSONS (86%); LITERATURE (78%); MOVIE INDUSTRY (78%); JOURNALISM (78%); FILM (78%); CHILDREN (77%); TELEVISION PROGRAMMING (76%); MOVIE & VIDEO PRODUCTION (76%); GOLDEN GLOBE AWARDS (73%); INTERIOR DECORATING (72%); HISTORY (71%); TELEVISION COMEDIES (71%); WOMEN (68%); PROFILES & BIOGRAPHIES (68%); HOSPITALS (64%); FEMINISM & WOMEN'S RIGHTS (63%); GENDER IDENTITY DISORDER (61%); HOLOCAUST (60%)
KATHARINE Q. SEELYE,"December 31, 2016 Saturday 00:00 EST",,"Kitty Dukakis, a Beneficiary of Electroshock Therapy, Emerges as Its Evangelist",1747 words,The New York Times,US,,DEPRESSION (90%); ELECTIONS (78%); SUBSTANCE ABUSE (77%); WRITERS (76%); ANTIDEPRESSANTS (75%); ACADEMIC MEDICAL CENTERS (73%); ALCOHOL ABUSE & ADDICTION (72%)
MARLISE SIMONS,"December 31, 2016 Saturday 00:00 EST",,"Damaged by War, Syria's Cultural Sites Rise Anew in France",1288 words,The New York Times,WORLD; europe,,ANTHROPOLOGY & ARCHAEOLOGY (91%); ARCHAEOLOGY (91%); MUSLIMS & ISLAM (90%); ISLAMIC STATE IN IRAQ & THE LEVANT (90%); CUSTOMS & CULTURAL HERITAGE (90%); ANCIENT HISTORY (90%); HISTORIC SITES (90%); HUMANITIES & SOCIAL SCIENCE (90%); ARCHITECTURAL SERVICES (90%); TERRORISM (89%); RELIGION (78%); BUILDING RENOVATION (77%); WAR & CONFLICT (77%); SCULPTURE (76%); HISTORIC DISTRICTS & STRUCTURES (75%); FRENCH PRESIDENTS (74%); UNMANNED AIRCRAFT (69%)
KATIE ROGERS,"December 31, 2016 Saturday 00:00 EST",,A Night of (Mostly) Not Drinking With a 'Drynuary' Expert; Night Out,784 words,The New York Times,STYLE,,ALCOHOLIC BEVERAGES (90%); ALCOHOL ABUSE & ADDICTION (89%); SUBSTANCE ABUSE (89%); BEER & ALE (78%); CHRISTMAS (76%); HOLIDAYS & OBSERVANCES (70%); ANIMAL SLAUGHTERING & PROCESSING (70%)
CAITLIN LOVINGER,"December 31, 2016 Saturday 00:00 EST",,A Little Variety; Wordplay,55 words,The New York Times,CROSSWORDS,,
CAITLIN LOVINGER,"December 31, 2016 Saturday 00:00 EST",,Variety: Cryptic Crossword; Wordplay,428 words,The New York Times,CROSSWORDS,,
CAITLIN LOVINGER,"December 31, 2016 Saturday 00:00 EST",,Rolling in the Aisles; Wordplay,701 words,The New York Times,CROSSWORDS,,
ANGELA FLOURNOY,"December 31, 2016 Saturday 00:00 EST",,What Does It Mean to Acknowledge the Past?; Opinion,1192 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); AFRICAN AMERICANS (78%); PERFORMING ARTS CENTERS (77%); WRITERS (77%); VISUAL & PERFORMING ARTS (77%); FESTIVALS (77%); INDIGENOUS PEOPLES (76%); TYPES OF GOVERNMENT (75%); SPORTS & RECREATION EVENTS (68%); TRENDS (65%); PROTESTS & DEMONSTRATIONS (62%); DISPLACED PERSONS (55%); POLICE BRUTALITY (50%); POLICE MISCONDUCT (50%)
KEN BELSON,"December 31, 2016 Saturday 00:00 EST",,"Los Angeles Has the Rams in Its Backyard, but the Raiders in Its Heart",1527 words,The New York Times,SPORTS; football,,SPORTS & RECREATION EVENTS (90%); SPORTS FANS (90%); AMERICAN FOOTBALL (90%); SPORTS (90%); STADIUMS & ARENAS (89%); COLLEGE & UNIVERSITY SPORTS (89%); SPORTS & RECREATION (89%); DRINKING PLACES (88%); ATHLETES (78%); HOLIDAYS & OBSERVANCES (77%); BONE FRACTURES (74%); CHRISTMAS (72%)
BEN SHPIGEL,"December 31, 2016 Saturday 00:00 EST",,Giants' Romeo Okwara Casts a Thoughtful Eye on the World,1220 words,The New York Times,SPORTS; football,,PHOTOGRAPHY (90%); AMERICAN FOOTBALL (90%); SPORTS (90%); CHRISTMAS (89%); MUSICAL INSTRUMENTS (83%); HOLIDAYS & OBSERVANCES (77%); ARTISTS & PERFORMERS (77%); SPORTS & RECREATION EVENTS (75%); SPORTS & RECREATION (75%); SPORTS INJURIES (74%); MUSEUMS & GALLERIES (72%); STRINGED INSTRUMENTS (72%); STADIUMS & ARENAS (69%); HIP HOP CULTURE (67%); MUSIC (63%); SINGERS & MUSICIANS (63%); POP & ROCK (63%); JAZZ & BLUES (63%); KEYBOARD INSTRUMENTS (62%); RAP MUSIC (60%); SURGERY & TRANSPLANTATION (55%)
THE ASSOCIATED PRESS,"December 31, 2016 Saturday 00:00 EST",,The Death of Darrent Williams Resonates 10 Years Later,997 words,The New York Times,SPORTS,,MURDER (89%); ATHLETES (89%); CHILDREN (77%); SHOOTINGS (76%); HOMICIDE (76%); SETTLEMENTS & DECISIONS (67%); WITNESSES (66%); TESTIMONY (66%); JUDGES (66%); LITIGATION (66%); EYEWITNESSES (65%); SENTENCING (64%); JAIL SENTENCING (60%)
THE ASSOCIATED PRESS,"December 31, 2016 Saturday 00:00 EST",,Blue Jackets Beat Wild in a Game Someone Had to Lose; Sports Briefing,1060 words,The New York Times,SPORTS,,MANAGERS & SUPERVISORS (90%); SPORTS & RECREATION (90%); SPORTS (90%); WINTER SPORTS (89%); ICE HOCKEY (89%); PROFESSIONAL SPORTS (78%); INFLUENZA (64%)
BRIAN McFADDEN,"December 31, 2016 Saturday 00:00 EST",,The Strip,8 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); POLITICAL PARTIES (89%); POLITICS (86%)
an EMPLOYEE of THE NEW YORK TIMES and CHRISTOPHER MELE,"December 31, 2016 Saturday 00:00 EST",,Terrorist Attack at Nightclub in Istanbul Kills Dozens,1132 words,The New York Times,WORLD; europe,,SHOOTINGS (92%); TERRORISM (91%); NIGHTCLUBS (90%); WOUNDS & INJURIES (90%); GUNSHOT WOUNDS (90%); TERRORIST ATTACKS (90%); MASS SHOOTINGS (90%); ISLAMIC STATE IN IRAQ & THE LEVANT (89%); HOLIDAYS & OBSERVANCES (89%); LAW ENFORCEMENT (89%); STATE DEPARTMENTS & FOREIGN SERVICES (76%); EMBASSIES & CONSULATES (76%); EMERGENCY VEHICLES (70%); RELIGION (70%); INTELLIGENCE SERVICES (60%)
MAGGIE HABERMAN,"December 31, 2016 Saturday 00:00 EST",,Trump Promises a Revelation on Hacking,508 words,The New York Times,US; politics,,INTELLIGENCE SERVICES (89%); ELECTIONS (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); CAMPAIGNS & ELECTIONS (78%); US PRESIDENTS (78%); POLITICS (78%); US PRESIDENTIAL ELECTIONS (78%); HEADS OF STATE & GOVERNMENT (78%); HEADS OF GOVERNMENT ELECTIONS (78%); INFORMATION WARFARE (77%); ESPIONAGE (73%); DIPLOMATIC SERVICES (68%); WEAPONS OF MASS DESTRUCTION (54%)
MARK VANHOENACKER,"December 31, 2016 Saturday 00:00 EST",,"The Dog of the Day Site? I'm Obsessed, and Here's Why; Noted",1247 words,The New York Times,FASHION,,PETS (90%); DOGS (89%); CATS (89%); BIOGRAPHICAL LITERATURE (76%); PORNOGRAPHY (76%); GRAPHIC DESIGN SERVICES (76%); WEBSITES (76%); VISUAL ARTISTS (76%); WEB DEVELOPMENT (71%); PROFILES & BIOGRAPHIES (71%); DRAWING & ILLUSTRATION (69%)
ANDREW E. KRAMER,"December 31, 2016 Saturday 00:00 EST",,The Lauded Russian Hacker Whose Company Landed on the U.S. Blacklist,1009 words,The New York Times,WORLD; europe,,CYBERCRIME (95%); COMPUTER CRIME (90%); COMPUTER NETWORK SECURITY (90%); INTELLIGENCE SERVICES (90%); INFORMATION SECURITY VULNERABILITIES (89%); INFORMATION WARFARE (89%); NATIONAL SECURITY (78%); POLITICAL ORGANIZATIONS (77%); US FEDERAL GOVERNMENT (77%); POLITICAL PARTIES (77%); POLITICS (77%); US DEMOCRATIC PARTY (77%); INTERNET SOCIAL NETWORKING (76%); SPECIAL INVESTIGATIVE FORCES (73%); INDUSTRIAL AUTOMATION (73%); MISCONDUCT (72%); COMPUTER SOFTWARE (69%); EMBARGOES & SANCTIONS (68%); ASSOCIATIONS & ORGANIZATIONS (66%)
R.J. RICO,"December 31, 2016 Saturday 00:00 EST",,"Alabama Bulls Its Way Past Washington to Reach Title Game; Alabama 24, Washington 7",947 words,The New York Times,SPORTS; ncaafootball,,COLLEGE & UNIVERSITY SPORTS (91%); SPORTS & RECREATION EVENTS (90%); STADIUMS & ARENAS (90%); ATHLETES (90%); AMERICAN FOOTBALL TOURNAMENTS (90%); TOURNAMENTS (90%); AMERICAN FOOTBALL (90%); SPORTS (90%); RANKINGS (89%); COACHES & TRAINERS (78%); SPORTS & RECREATION (77%)
JEFFREY GETTLEMAN,"December 31, 2016 Saturday 00:00 EST",,Closing China's Ivory Market: Will It Save Elephants?; News Analysis,1255 words,The New York Times,WORLD; africa,,ANIMAL POACHING & TRAFFICKING (90%); MAMMALS (90%); WILDLIFE (90%); SCIENCE NEWS (89%); SCIENCE & TECHNOLOGY (89%); ASSOCIATIONS & ORGANIZATIONS (86%); PRICE INCREASES (69%); CORRUPTION (68%); ENVIRONMENTALISM (60%); ILLEGAL DRUGS (52%); POVERTY & HOMELESSNESS (50%)
KAREN CROUSE,"December 31, 2016 Saturday 00:00 EST",,"Clemson Pounds Ohio State to Set Up a Rematch With Alabama; Clemson 31, Ohio State 0 | Fiesta Bowl",942 words,The New York Times,SPORTS; ncaafootball,,COLLEGE & UNIVERSITY SPORTS (94%); SPORTS & RECREATION EVENTS (90%); STADIUMS & ARENAS (90%); ATHLETES (90%); AMERICAN FOOTBALL TOURNAMENTS (90%); SPORTS & RECREATION (90%); COACHES & TRAINERS (90%); TOURNAMENTS (90%); AMERICAN FOOTBALL (90%); SPORTS (90%); SCHOOL SPORTS FACILITIES (77%)
LISA FELDMAN BARRETT,"December 31, 2016 Saturday 00:00 EST",,How to Become a 'Superager'; Gray Matter,965 words,The New York Times,OPINION; sunday,,BRAIN (90%); EDITORIALS & OPINIONS (90%); NEUROSCIENCE (89%); SENIOR CITIZENS (78%); ADULTS (78%); ACADEMIC MEDICAL CENTERS (77%); DIAGNOSTIC IMAGING (74%); PHYSICIANS & SURGEONS (71%); MAGNETIC RESONANCE IMAGING (68%); MAMMALS (66%); REPTILES & AMPHIBIANS (66%); EVOLUTION THEORY (62%)
JOSHUA BARONE,"December 31, 2016 Saturday 00:00 EST",,What's on TV Saturday: New Year's Eve,539 words,The New York Times,ARTS; television,,TELEVISION INDUSTRY (92%); NETWORK TELEVISION (90%); CLASSICAL MUSIC (89%); MUSIC (89%); CELEBRITIES (89%); SINGERS & MUSICIANS (87%); THEATER & DRAMA (85%); DEATHS & DEATH RATES (78%); LATE NIGHT TELEVISION (77%); PUBLIC TELEVISION (77%); TELEVISION PROGRAMMING (77%); MUSIC GROUPS & ARTISTS (72%); TONY AWARDS (72%); MUSICAL THEATER (72%); MUSIC INDUSTRY (72%); ENTERTAINMENT & ARTS AWARDS (67%)
,"December 31, 2016 Saturday 00:00 EST",,Quotation of the Day,53 words,The New York Times,TODAYSPAPER,,INTERNATIONAL ASSISTANCE (84%); US PRESIDENTS (84%)
ROSALIE R. RADOMSKY,"December 31, 2016 Saturday 00:00 EST",,Jane Dickey and Jim Matson: A Snubbed Matchmaker Is Proven Right,633 words,The New York Times,FASHION; weddings,,WEDDINGS & ENGAGEMENTS (91%); CLERGY & RELIGIOUS VOCATIONS (90%); RELIGION (90%); CHRISTIANS & CHRISTIANITY (90%); MARRIAGE (78%); LAWYERS (76%); LAW SCHOOLS (76%); LEGAL SERVICES (76%); FOOD INDUSTRY (74%); MUNICIPAL BONDS (71%); CRUISES (71%)
REUTERS,"December 31, 2016 Saturday 00:00 EST",,"Tiger Woods Will Have a Good Year, His Friend Notah Begay III Predicts",490 words,The New York Times,SPORTS; golf,,GOLF (91%); SPORTS & RECREATION EVENTS (90%); PROFESSIONAL SPORTS (90%); TOURNAMENTS (90%); GOLF TOURNAMENTS (90%); COLLEGE & UNIVERSITY SPORTS (71%)
ROBERT D. HERSHEY Jr.,"December 31, 2016 Saturday 00:00 EST",,"F. Ross Johnson, Symbol of '80s Corporate Excess, Dies at 85",1335 words,The New York Times,BUSINESS,,DEATHS & OBITUARIES (94%); EXECUTIVES (91%); TAKEOVERS (90%); BUYINS & BUYOUTS (90%); BESTSELLERS (90%); LEVERAGED BUYOUTS (78%); WRITERS (78%); DIVESTITURES (78%); SALES FORCE (78%); BUDGETS (76%); CELEBRITIES (76%); ENTREPRENEURSHIP (75%); BUSINESS EDUCATION (75%); RETAILERS (73%); DEPARTMENT STORES (73%); BICYCLES (71%); GRADUATE & PROFESSIONAL SCHOOLS (69%); ATHLETES (56%)
MOTOKO RICH,"December 31, 2016 Saturday 00:00 EST",,A Maverick Former Japanese Prime Minister Goes Antinuclear,1497 words,The New York Times,WORLD; asia,,NUCLEAR ENERGY (91%); MARCH 2011 JAPAN NUCLEAR DISASTER (90%); DISEASES & DISORDERS (90%); TSUNAMIS (90%); MARCH 2011 JAPAN EARTHQUAKE & TSUNAMI (90%); US NAVY (90%); ARMED FORCES (90%); NAVIES (90%); PRIME MINISTERS (90%); HEADS OF STATE & GOVERNMENT (90%); POWER PLANTS (89%); ELECTRIC POWER PLANTS (89%); NUCLEAR POWER PLANTS (89%); NAVAL VESSELS (78%); PRIVATIZATION (78%); MILITARY VESSELS (78%); DEFENSE DEPARTMENTS (78%); SOLAR ENERGY (77%); ALTERNATIVE & RENEWABLE ENERGY (77%); LEUKEMIA (76%); HEALTH CARE COSTS (75%); POLITICAL PARTIES (75%); PUBLIC POLICY (75%); INTERVIEWS (73%); NEUROLOGICAL DISORDERS & INJURIES (71%); SUITS & CLAIMS (70%); ENDOCRINE SYSTEM DISORDERS (69%); PRESS CONFERENCES (67%); POSTAL SERVICE (60%)
JAVIER C. HERNÁNDEZ,"December 31, 2016 Saturday 00:00 EST",,Propaganda With a Millennial Twist Pops Up in China,1537 words,The New York Times,WORLD; asia,,MILLENNIUM (90%); POLITICAL PARTIES (90%); POLITICS (90%); FILM (89%); ANIMATION (89%); ANIMATED FILMS (78%); MARKETING & ADVERTISING (78%); INTERNET & WWW (77%); SOCIAL MEDIA (76%); INTERNET SOCIAL NETWORKING (76%); VIDEO INDUSTRY (76%); ELECTRONIC PUBLISHING (76%); PHOTO & VIDEO SHARING (76%); PUBLIC BROADCASTING (75%); JOURNALISM (75%); CENSORSHIP (73%); EXECUTIVES (73%); WRITERS (69%); HIP HOP CULTURE (64%); RAP MUSIC (60%); MARKET DEMOGRAPHICS (60%)
RICHARD C. PADDOCK and ERIC LIPTON,"December 31, 2016 Saturday 00:00 EST",,"Trump's Indonesia Projects, Still Moving Ahead, Create Potential Conflicts",1933 words,The New York Times,WORLD; asia,,COPPER MINING (90%); CONFLICTS OF INTEREST (90%); MINES & MINING (87%); RESORTS (78%); AMUSEMENT & THEME PARKS (78%); LODGING CONSTRUCTION (78%); POLITICAL ORGANIZATIONS (77%); ETHICS (76%); TALKS & MEETINGS (76%); CAMPAIGNS & ELECTIONS (76%); HEADS OF GOVERNMENT ELECTIONS (76%); BUILDING RENOVATION (74%); US POLITICAL PARTIES (73%); CORRUPTION (72%); WEALTHY PEOPLE (72%); LEGISLATIVE BODIES (71%); US FEDERAL GOVERNMENT (71%); POLITICAL ORGANIZING (68%); EXTORTION (67%); PRESS CONFERENCES (64%)
,"December 31, 2016 Saturday 00:00 EST",,"Nuclear Power, Debated; Letters",1155 words,The New York Times,OPINION; sunday,,NUCLEAR POWER PLANTS (92%); GLOBAL WARMING (91%); SOLAR ENERGY (90%); POWER PLANTS (90%); NATURAL GAS & ELECTRIC UTILITIES (90%); NUCLEAR ENERGY (90%); ALTERNATIVE & RENEWABLE ENERGY (90%); EDITORIALS & OPINIONS (90%); LETTERS & COMMENTS (90%); WIND ENERGY (89%); NUCLEAR PLANT SAFETY (89%); HAZARDOUS WASTE (89%); ENERGY & ENVIRONMENT (78%); ENERGY & UTILITY LAW (78%); MARCH 2011 JAPAN NUCLEAR DISASTER (78%); ELECTRIC POWER PLANTS (78%); CHERNOBYL NUCLEAR DISASTER (78%); NUCLEAR WASTE (78%); WRITERS (78%); ENERGY DEPARTMENTS (78%); ENERGY & UTILITY POLICY (78%); AGREEMENTS (77%); SOLAR POWER PLANTS (76%); MARCH 2011 JAPAN EARTHQUAKE & TSUNAMI (75%); MIGRATION ISSUES (73%); ELECTRIC POWER INDUSTRY (73%); ENERGY REGULATION (73%); TSUNAMIS (70%); REFUGEES (65%); SYRIAN CRISIS (64%); GOVERNMENT GRANTS & SUBSIDIES (63%); LIABILITY INSURANCE (50%)
THE EDITORIAL BOARD,"December 31, 2016 Saturday 00:00 EST",,Chris Christie's Book of Hubris; Editorial,554 words,The New York Times,OPINION; sunday,,US PRESIDENTIAL CANDIDATES 2012 (92%); EDITORIALS & OPINIONS (92%); US PRESIDENTIAL CANDIDATES 2016 (91%); PRIMARY ELECTIONS (90%); US REPUBLICAN PARTY (90%); TRUMP'S FIRST 100 DAYS (90%); CAMPAIGNS & ELECTIONS (90%); US PRESIDENTIAL ELECTIONS (90%); GOVERNORS (90%); HEADS OF GOVERNMENT ELECTIONS (89%); ELECTIONS (78%); US STATE GOVERNMENT (78%); POLITICS (78%); BIOGRAPHICAL LITERATURE (76%); ETHICS (76%); TAX LAW (76%); WAGES & SALARIES (75%); GUN CONTROL (71%); TAXES & TAXATION (69%); CASINOS (64%)
JENNIFER WEINER,"December 31, 2016 Saturday 00:00 EST",,Try a New Year's Revolution; Contributing Op-Ed Writer,1124 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (92%); US PRESIDENTIAL CANDIDATES 2016 (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); WRITERS (87%); WOMEN (77%); ARTISTS & PERFORMERS (73%); HOBBIES (70%)
BERNARD AVISHAI,"December 31, 2016 Saturday 00:00 EST",,Is Donald Trump the Friend Israel Needs?; Opinion,1797 words,The New York Times,OPINION; sunday,,JEWS & JUDAISM (92%); EMBASSIES & CONSULATES (91%); US PRESIDENTIAL CANDIDATES 2016 (90%); INTERNATIONAL RELATIONS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); EDITORIALS & OPINIONS (90%); RELIGION (89%); TYPES OF GOVERNMENT (78%); TRUMP'S FIRST 100 DAYS (78%); ANTISEMITISM (78%); ISRAELI-PALESTINIAN CONFLICTS (78%); APPOINTMENTS (78%); MUSLIMS & ISLAM (77%); FOREIGN POLICY (77%); RACISM & XENOPHOBIA (77%); DIPLOMATIC SERVICES (77%); POLITICAL VIOLENCE (77%); FUNDRAISING (73%); LAWYERS (68%); SUPREME COURTS (66%); TERRORISM (65%); POLITICAL PARTIES (62%); LAW COURTS & TRIBUNALS (60%); INSOLVENCY & BANKRUPTCY (52%)
JOHN A. FARRELL,"December 31, 2016 Saturday 00:00 EST",,Nixon's Vietnam Treachery; Opinion,938 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); VIETNAM WAR (89%); HISTORY (78%); US PRESIDENTS (78%); PEACE PROCESS (77%); LEGISLATION (75%); US PRESIDENTIAL ELECTIONS (75%); TALKS & MEETINGS (74%); POLITICAL CANDIDATES (74%); BOMBINGS (71%); INTERNATIONAL RELATIONS (70%); FUNDRAISING (69%); FOREIGN POLICY (67%); LIBRARIES (51%)
THE EDITORIAL BOARD,"December 31, 2016 Saturday 00:00 EST",,Monuments Man; Editorial,642 words,The New York Times,OPINION; sunday,,NATIONAL PARKS (92%); EDITORIALS & OPINIONS (92%); US PRESIDENTS (91%); US REPUBLICAN PARTY (90%); WILDERNESS (90%); LAND USE & DEVELOPMENT (90%); ENVIRONMENT & NATURAL RESOURCES (90%); CONSERVATION (90%); ECOSYSTEMS & HABITATS (89%); THREATENED & SENSITIVE SPECIES (89%); WILDLIFE (89%); WILDLIFE CONSERVATION (89%); US ENVIRONMENTAL LAW (85%); HISTORY (78%); ANTHROPOLOGY & ARCHAEOLOGY (78%); INDIGENOUS PEOPLES (78%); LAND USE PLANNING (78%); NATIVE AMERICANS (78%); MIXED USE DEVELOPMENTS (78%); ENVIRONMENTALISM (77%); POLITICAL PARTIES (75%); OIL & GAS INDUSTRY (74%); GEOLOGY & GEOPHYSICS (69%); ARCHAEOLOGY (63%)
CARL HULSE,"December 31, 2016 Saturday 00:00 EST",,House Republicans Fret About Winning Their Health Care Suit; On Washington,982 words,The New York Times,US; politics,,POLITICAL PARTIES (92%); US REPUBLICAN PARTY (91%); SUITS & CLAIMS (91%); HEALTH CARE (90%); LEGISLATIVE BODIES (90%); US PRESIDENTS (90%); POLITICS (90%); LITIGATION (90%); HEALTH INSURANCE (90%); TRUMP'S FIRST 100 DAYS (89%); US PATIENT PROTECTION & AFFORDABLE CARE ACT (89%); JUDGES (89%); APPEALS (86%); MANAGED CARE ORGANIZATIONS (78%); CONSERVATISM (78%); HEALTH CARE POLICY (78%); OBAMA'S FIRST 100 DAYS (78%); HEALTH CARE LAW (78%); APPROPRIATIONS (78%); LAWYERS (74%); JUSTICE DEPARTMENTS (73%); STANDING TO SUE (73%); LAW ENFORCEMENT (72%); INSURANCE (71%); LOW INCOME PERSONS (71%); APPELLATE DECISIONS (69%); APPEALS COURTS (69%); VOTERS & VOTING (67%)
NICHOLAS KRISTOF,"December 31, 2016 Saturday 00:00 EST",,Lessons From the Media's Failures in Its Year With Trump; Op-Ed Columnist,940 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (92%); BROADCASTING INDUSTRY (91%); US PRESIDENTIAL CANDIDATES 2016 (90%); CAMPAIGNS & ELECTIONS (90%); POLITICS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); JOURNALISM (89%); WRITERS (89%); NEWS REPORTING (78%); PLATFORMS & ISSUES (77%); US PRESIDENTIAL ELECTIONS (77%); ELECTIONS (76%); TELEVISION INDUSTRY (76%); HEADS OF GOVERNMENT ELECTIONS (75%); RISK MANAGEMENT (72%); REALITY TELEVISION (71%); CHARITIES (69%); FOUNDATIONS (68%); PHILANTHROPY (63%); SUBSTANCE ABUSE (52%)
MICHAEL D. SHEAR,"December 31, 2016 Saturday 00:00 EST",,"Obama's Last Days: Aiding Trump Transition, but Erecting Policy Roadblocks",1469 words,The New York Times,US; politics,,US PRESIDENTS (91%); ELECTIONS (90%); CAMPAIGNS & ELECTIONS (89%); PRISONS (88%); US REPUBLICAN PARTY (79%); TALKS & MEETINGS (78%); POLITICAL PARTIES (78%); BOARDS OF DIRECTORS (78%); CONSERVATISM (78%); POLITICS (78%); APPOINTMENTS (78%); US FEDERAL GOVERNMENT (77%); LIBERALISM (76%); POLITICAL DETAINEES (73%); CORRECTIONS (68%); CONSERVATION (68%); CIVIL SERVICES (65%); CONTROLLED SUBSTANCES CRIME (63%); PARDONS (63%); MILITARY SCHOOLS & ACADEMIES (50%)
THE EDITORIAL BOARD,"December 31, 2016 Saturday 00:00 EST",,Can Russia Make Peace as Well as War?; Editorial,640 words,The New York Times,OPINION,,EDITORIALS & OPINIONS (92%); WAR & CONFLICT (91%); CIVIL WAR (90%); PEACE PROCESS (89%); REBELLIONS & INSURGENCIES (78%); WAR CRIMES (77%); COLD WAR (77%); ASSASSINATION (77%); US PRESIDENTIAL CANDIDATES 2016 (76%); MILITARY & VETERANS LAW (76%); STATE DEPARTMENTS & FOREIGN SERVICES (73%); EMBASSIES & CONSULATES (73%)
ROSS DOUTHAT,"December 31, 2016 Saturday 00:00 EST",,Confessions of a Columnist; Op-Ed Columnist,839 words,The New York Times,OPINION; sunday,,POLITICAL PARTIES (94%); EDITORIALS & OPINIONS (93%); US REPUBLICAN PARTY (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); WRITERS (90%); POLITICS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); US POLITICAL PARTIES (89%); LIBERALISM (89%); ELECTIONS (75%); POLITICAL ORGANIZATIONS (75%); CAMPAIGNS & ELECTIONS (75%); CONSERVATISM (75%); HEADS OF GOVERNMENT ELECTIONS (75%); US PRESIDENTIAL ELECTIONS (74%); VOTERS & VOTING (70%); LIBERAL MEDIA (69%)
